turma,disciplina,departamento,horario,sala
01,04160 - CONTROLE DE CUSTOS APLICADOS À GASTRONOMIA,DADM,"Segunda-feira, 08:00 a 10:00
Quarta-feira, 08:00 a 10:00",JVS::28
01,04162 - FUNDAMENTOS DE SISTEMAS DE INFORMAÇÃO,DADM,"Segunda-feira, 08:00 a 12:00",JVS::36
01,04170 - ADMINISTRAÇÃO FLORESTAL,DADM,"Segunda-feira, 07:00 a 10:00
Terça-feira, 09:00 a 10:00",JVS::12
01,04173 - GESTÃO AMBIENTAL E RESPONSABILIDADE SOCIAL A,DADM,"Quarta-feira, 13:00 a 15:00",JVS::28
01,04203 - FUNDAMENTOS DE ESTRATÉGIA COMPETITIVA,DADM,"Terça-feira, 08:00 a 12:00",JVS::13
01,04231 - GESTÃO DO CONHECIMENTO,DADM,"Terça-feira, 18:30 a 21:50",JVS::03
01,04249 - EMPREENDEDORISMO E INOVAÇÃO,DADM,"Sexta-feira, 08:00 a 12:00",JVS::40
02,04231 - GESTÃO DO CONHECIMENTO,DADM,"Sexta-feira, 08:00 a 12:00",JVS::36
03,04109 - INTRODUÇÃO À ADMINISTRAÇÃO,DADM,"Sexta-feira, 08:00 a 12:00",JVS::02
03,04180 - EMPREENDEDORISMO,DADM,"Terça-feira, 08:00 a 12:00",JVS::28
01,02213 - ECOLOGIA GERAL,DB,"Terça-feira, 15:00 a 16:00
Quinta-feira, 15:00 a 18:00",JVS::18
01,02256 - CONSERVAÇÃO E MANEJO DE FAUNA,DB,"Sexta-feira, 13:00 a 16:00",JVS::12
01,02631 - ZOOLOGIA GERAL,DB,"Terça-feira, 07:00 a 10:00
Quinta-feira, 09:00 a 10:00",JVS::08
01,02760 - MICROBIOLOGIA AMBIENTAL,DB,"Segunda-feira, 13:00 a 16:00",JVS::18
03,02104 - BOTÂNICA SISTEMÁTICA,DB,"Terça-feira, 07:00 a 10:00
Quinta-feira, 09:00 a 10:00",JVS::09
03,02106 - FISIOLOGIA VEGETAL,DB,"Terça-feira, 13:00 a 15:00
Quinta-feira, 13:00 a 15:00",JVS::08
03,02156 - MORFOLOGIA DE FANERÓGAMAS,DB,"Quarta-feira, 07:00 a 10:00
Sexta-feira, 09:00 a 10:00",JVS::08
03,02319 - GENÉTICA GERAL,DB,"Terça-feira, 16:00 a 18:00
Quinta-feira, 13:00 a 15:00",JVS::09
01,06209 - INTRODUÇÃO À COMPUTAÇÃO,DC,"Quarta-feira, 15:00 a 17:00
Quinta-feira, 13:00 a 15:00",JVS::37
01,06214 - ALGORITMOS E ESTRUTURAS DE DADOS,DC,"Terça-feira, 14:00 a 16:00
Sexta-feira, 16:00 a 18:00",JVS::36
01,06215 - BANCO DE DADOS I,DC,"Terça-feira, 20:10 a 21:50
Sexta-feira, 18:30 a 20:10",JVS::41
01,06223 - TEORIA DA COMPUTAÇÃO,DC,"Quarta-feira, 16:00 a 18:00
Sexta-feira, 14:00 a 16:00",JVS::38
01,06226 - ENGENHARIA DE SOFTWARE,DC,"Segunda-feira, 16:00 a 18:00
Quarta-feira, 14:00 a 16:00",CEAGRI_I::10
01,06230 - COMPUTAÇÃO GRÁFICA BÁSICA,DC,"Terça-feira, 18:30 a 20:10
Quinta-feira, 18:30 a 20:10",JVS::16
01,06237 - ELEMENTOS DE INFORMÁTICA,DC,"Segunda-feira, 16:00 a 18:00",JVS::12
01,06251 - PROJETO DE DESENVOLVIMENTO DE SOFTWARE,DC,"Segunda-feira, 16:00 a 18:00
Quarta-feira, 14:00 a 16:00",JVS::41
01,06252 - PARADIGMAS DE PROGRAMAÇÃO,DC,"Segunda-feira, 14:00 a 16:00
Quinta-feira, 16:00 a 18:00",JVS::35
01,06262 - INTRODUÇÃO À INFORMÁTICA,DC,"Sexta-feira, 07:00 a 10:00",JVS::43
01,06279 - APLICATIVOS DE INFORMÁTICA PARA GASTRONOMIA,DC,"Segunda-feira, 07:00 a 08:00
Quarta-feira, 07:00 a 10:00",JVS::35
01,06281 - EDUCAÇÃO À DISTÂNCIA,DC,"Segunda-feira, 18:30 a 20:10
Quinta-feira, 20:10 a 21:50",CEAGRI_I::15
01,14042 - JOGOS DIGITAIS,DC,"Segunda-feira, 20:10 a 21:50
Quinta-feira, 18:30 a 20:10",JVS::41
01,14043 - COMPUTADORES E SOCIEDADE,DC,"Terça-feira, 16:00 a 18:00
Quinta-feira, 14:00 a 16:00",JVS::03
01,14044 - INTRODUÇÃO À CIÊNCIA DA COMPUTAÇÃO,DC,"Terça-feira, 14:00 a 16:00
Sexta-feira, 16:00 a 18:00",JVS::02
01,14048 - PROJETO DE CONCLUSÃO DE CURSO,DC,"Segunda-feira, 16:00 a 18:00
Quarta-feira, 14:00 a 16:00",JVS::42
01,14055 - COMPUTAÇÃO E EMPREENDEDORISMO,DC,"Segunda-feira, 18:30 a 20:10
Quinta-feira, 18:30 a 20:10",JVS::42
01,14058 - REDES DE COMPUTADORES,DC,"Terça-feira, 14:00 a 16:00
Sexta-feira, 16:00 a 18:00",JVS::41
01,14059 - SISTEMAS DISTRIBUÍDOS,DC,"Terça-feira, 14:00 a 16:00
Sexta-feira, 16:00 a 18:00",JVS::35
01,14063 - CIRCUITOS DIGITAIS,DC,"Terça-feira, 16:00 a 18:00
Quinta-feira, 14:00 a 16:00",JVS::43
01,14064 - ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES,DC,"Terça-feira, 16:00 a 18:00
Quinta-feira, 14:00 a 16:00",CEAGRI_I::10
01,14065 - SISTEMAS OPERACIONAIS,DC,"Terça-feira, 16:00 a 18:00
Quinta-feira, 14:00 a 16:00",JVS::41
01,14074 - INTELIGÊNCIA ARTIFICIAL,DC,"Segunda-feira, 14:00 a 16:00
Quinta-feira, 16:00 a 18:00",JVS::38
01,14076 - SEGURANÇA DA INFORMAÇÃO,DC,"Terça-feira, 18:30 a 21:50",JVS::37
01,14078 - ENGENHARIA DE REQUISITOS,DC,"Terça-feira, 20:10 a 21:50
Quinta-feira, 18:30 a 20:10",CEAGRI_I::10
01,14079 - MÉTODOS FORMAIS,DC,"Quarta-feira, 16:00 a 18:00
Sexta-feira, 14:00 a 16:00",JVS::43
01,14083 - PROGRAMAÇÃO I,DC,"Segunda-feira, 18:30 a 20:10
Quinta-feira, 20:10 a 21:50",JVS::39
01,14084 - PROGRAMAÇÃO II,DC,"Segunda-feira, 18:30 a 20:10
Quinta-feira, 20:10 a 21:50",CEAGRI_I::10
01,14087 - PROJETO E ANÁLISE DE ALGORITMOS,DC,"Terça-feira, 14:00 a 16:00
Sexta-feira, 16:00 a 18:00",JVS::03
01,14088 - BANCO DE DADOS S,DC,"Quarta-feira, 16:00 a 18:00
Sexta-feira, 14:00 a 16:00",JVS::41
01,14090 - COMPILADORES,DC,"Quarta-feira, 16:00 a 18:00
Sexta-feira, 14:00 a 16:00",JVS::03
01,14103 - BIOLOGIA COMPUTACIONAL,DC,"Terça-feira, 16:00 a 18:00
Sexta-feira, 14:00 a 16:00",JVS::37
01,14108 - ANÁLISE E PROJETO DE SISTEMAS ORIENTADOS A OBJETOS,DC,"Quarta-feira, 20:10 a 21:50
Sexta-feira, 18:30 a 20:10",JVS::43
01,14110 - ESTÁGIO SUPERVISIONADO OBRIGATÓRIO I - BACH COMPUTAÇÃO,DC,"Quarta-feira, 18:30 a 20:10",JVS::40
01,14111 - ESTÁGIO SUPERVISIONADO OBRIGATÓRIO II - BACH COMPUTAÇÃO,DC,"Quarta-feira, 20:10 a 21:50",JVS::37
01,14112 - METODOLOGIA CIENTÍFICA APLICADA À COMPUTAÇÃO,DC,"Terça-feira, 16:00 a 18:00
Quinta-feira, 14:00 a 16:00",JVS::36
01,14117 - INTRODUÇÃO À PROGRAMAÇÃO I,DC,"Segunda-feira, 14:00 a 16:00
Quinta-feira, 16:00 a 18:00",JVS::43
01,14118 - INTRODUÇÃO À PROGRAMAÇÃO II,DC,"Segunda-feira, 14:00 a 16:00
Quinta-feira, 16:00 a 18:00",CEAGRI_I::10
01,14125 - DESENVOLVIMENTO DE APLICAÇÕES PARA WEB,DC,"Sexta-feira, 18:30 a 21:50",CEAGRI_I::15
01,14203 - MATEMÁTICA DISCRETA I,DC,"Quarta-feira, 16:00 a 18:00
Sexta-feira, 14:00 a 16:00",JVS::02
01,14204 - MATEMÁTICA DISCRETA II,DC,"Quarta-feira, 16:00 a 18:00
Sexta-feira, 14:00 a 16:00",JVS::14
01,14313 - ALGORITMOS SOBRE TEXTOS,DC,"Sexta-feira, 18:30 a 21:50",JVS::37
01,14319 - METODOLOGIAS ÁGEIS DE DESENVOLVIMENTO DE SOFTWARE,DC,"Segunda-feira, 18:30 a 20:10
Quarta-feira, 18:30 a 20:10",JVS::38
01,14321 - TESTE DE SOFTWARE,DC,"Segunda-feira, 16:00 a 18:00
Quinta-feira, 14:00 a 16:00",JVS::35
01,14324 - INTERAÇÃOOMEM MÁQUINA,DC,"Terça-feira, 18:30 a 20:10
Quinta-feira, 20:10 a 21:50",JVS::36
01,14704 - VISÃO COMPUTACIONAL,DC,"Segunda-feira, 14:00 a 16:00
Quinta-feira, 16:00 a 18:00",JVS::41
01,14730 - COMPUTAÇÃO PARA ANÁLISE DE DADOS,DC,"Terça-feira, 18:30 a 21:50
Quarta-feira, 18:30 a 20:10
Sexta-feira, 20:10 a 21:50",JVS::39
01,28001 - PRODUÇÃO DE MATERIAL DIDÁTICO PARA MÍDIAS ELETRÔNICAS,DC,"Terça-feira, 18:30 a 20:10",JVS::08
01,28003 - PENSAMENTO COMPUTACIONAL,DC,"Segunda-feira, 20:10 a 21:50
Quarta-feira, 18:30 a 20:10",JVS::37
01,28004 - INTRODUÇÃO A AMBIENTES VIRTUAIS DE APRENDIZAGEM,DC,"Sábado, 10:00 a 12:00",JVS::38
01,28005 - LABORATÓRIO DE PROGRAMAÇÃO I,DC,"Sábado, 08:00 a 10:00",JVS::35
01,28006 - LABORATÓRIO DE PROGRAMAÇÃO II,DC,"Sábado, 10:00 a 12:00",JVS::35
01,28007 - ASPECTOSUMANOS E SOCIAIS NA COMPUTAÇÃO,DC,"Sábado, 08:00 a 12:00",JVS::12
01,28008 - PRÁTICA DE ENSINO DE COMPUTAÇÃO I,DC,"Sábado, 08:00 a 12:00",JVS::16
01,28009 - PRÁTICA DE ENSINO DE COMPUTAÇÃO II,DC,"Sábado, 08:00 a 12:00",JVS::37
01,28010 - TECNOLOGIAS NA EDUCAÇÃO,DC,"Quarta-feira, 18:30 a 20:10
Sexta-feira, 20:10 a 21:50",JVS::41
01,28011 - PROJETO DE DESENVOLVIMENTO DE SOFTWARE EDUCACIONAL,DC,"Segunda-feira, 20:10 a 21:50
Quarta-feira, 18:30 a 20:10",CEAGRI_I::15
01,28014 - INOVAÇÃO EM EDUCAÇÃO,DC,"Terça-feira, 14:00 a 16:00
Quinta-feira, 16:00 a 18:00",JVS::42
01,28016 - MINERAÇÃO DE DADOS EDUCACIONAIS,DC,"Terça-feira, 16:00 a 18:00
Quinta-feira, 14:00 a 16:00",JVS::40
01,28017 - TÓPICOS AVANÇADOS DE EDUCAÇÃO EM COMPUTAÇÃO,DC,"Terça-feira, 18:30 a 20:10
Quinta-feira, 20:10 a 21:50",JVS::40
01,28019 - MÉTODOS NUMÉRICOS E COMPUTACIONAIS,DC,"Segunda-feira, 14:00 a 18:00",JVS::37
01,28021 - MODELAGEM E SIMULAÇÃO DE SISTEMAS COMPUTACIONAIS,DC,"Terça-feira, 14:00 a 16:00
Quinta-feira, 16:00 a 18:00",JVS::37
01,28023 - DESIGN ESPECULATIVO E FUTURISMO EM COMPUTAÇÃO,DC,"Terça-feira, 18:30 a 20:10
Quinta-feira, 18:30 a 20:10",JVS::38
02,06209 - INTRODUÇÃO À COMPUTAÇÃO,DC,"Quarta-feira, 16:00 a 18:00
Sexta-feira, 14:00 a 16:00",CEAGRI_I::10
02,06214 - ALGORITMOS E ESTRUTURAS DE DADOS,DC,"Terça-feira, 18:30 a 20:10
Sexta-feira, 20:10 a 21:50",JVS::02
02,06223 - TEORIA DA COMPUTAÇÃO,DC,"Segunda-feira, 20:10 a 21:50
Quinta-feira, 18:30 a 20:10",JVS::28
02,06226 - ENGENHARIA DE SOFTWARE,DC,"Segunda-feira, 20:10 a 21:50
Quarta-feira, 18:30 a 20:10",JVS::43
02,06262 - INTRODUÇÃO À INFORMÁTICA,DC,"Quinta-feira, 07:00 a 10:00",JVS::39
02,14058 - REDES DE COMPUTADORES,DC,"Segunda-feira, 18:30 a 20:10
Quinta-feira, 20:10 a 21:50",JVS::43
02,14063 - CIRCUITOS DIGITAIS,DC,"Terça-feira, 20:10 a 21:50
Quinta-feira, 18:30 a 20:10",JVS::43
02,14064 - ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES,DC,"Terça-feira, 18:30 a 20:10
Quinta-feira, 20:10 a 21:50",JVS::35
02,14065 - SISTEMAS OPERACIONAIS,DC,"Terça-feira, 20:10 a 21:50
Quinta-feira, 18:30 a 20:10",CEAGRI_I::15
02,14074 - INTELIGÊNCIA ARTIFICIAL,DC,"Terça-feira, 20:10 a 21:50
Quinta-feira, 18:30 a 20:10",JVS::15
02,14076 - SEGURANÇA DA INFORMAÇÃO,DC,"Sexta-feira, 18:30 a 21:50",CEAGRI_I::10
02,14112 - METODOLOGIA CIENTÍFICA APLICADA À COMPUTAÇÃO,DC,"Quarta-feira, 20:10 a 21:50
Sexta-feira, 18:30 a 20:10",JVS::42
02,14117 - INTRODUÇÃO À PROGRAMAÇÃO I,DC,"Segunda-feira, 14:00 a 16:00
Quinta-feira, 16:00 a 18:00",CEAGRI_I::15
02,14118 - INTRODUÇÃO À PROGRAMAÇÃO II,DC,"Segunda-feira, 14:00 a 16:00
Quinta-feira, 16:00 a 18:00",JVS::03
02,14203 - MATEMÁTICA DISCRETA I,DC,"Quarta-feira, 20:10 a 21:50
Sexta-feira, 18:30 a 20:10",JVS::02
02,14204 - MATEMÁTICA DISCRETA II,DC,"Quarta-feira, 20:10 a 21:50
Sexta-feira, 18:30 a 20:10",JVS::38
02,14730 - COMPUTAÇÃO PARA ANÁLISE DE DADOS,DC,"Quarta-feira, 18:30 a 20:10
Sexta-feira, 20:10 a 21:50",JVS::35
02,28001 - PRODUÇÃO DE MATERIAL DIDÁTICO PARA MÍDIAS ELETRÔNICAS,DC,"Terça-feira, 16:00 a 18:00",JVS::08
03,06209 - INTRODUÇÃO À COMPUTAÇÃO,DC,"Quarta-feira, 15:00 a 16:00
Sexta-feira, 13:00 a 16:00",CEAGRI_I::15
03,06262 - INTRODUÇÃO À INFORMÁTICA,DC,"Quinta-feira, 15:00 a 18:00",JVS::39
03,14117 - INTRODUÇÃO À PROGRAMAÇÃO I,DC,"Terça-feira, 14:00 a 16:00
Quinta-feira, 14:00 a 16:00",JVS::38
03,14203 - MATEMÁTICA DISCRETA I,DC,"Quarta-feira, 20:10 a 21:50
Sexta-feira, 18:30 a 20:10",JVS::03
04,06262 - INTRODUÇÃO À INFORMÁTICA,DC,"Quarta-feira, 13:00 a 16:00",JVS::39
05,06262 - INTRODUÇÃO À INFORMÁTICA,DC,"Segunda-feira, 13:00 a 14:00
Terça-feira, 13:00 a 15:00",JVS::43
01,13107 - MELHORAMENTO FLORESTAL,DCFL,"Quarta-feira, 10:00 a 12:00
Sexta-feira, 07:00 a 09:00",JVS::11
01,13115 - INTRODUÇÃO À ENGENHARIA FLORESTAL,DCFL,"Segunda-feira, 10:00 a 12:00",JVS::08
01,13116 - LEGISLAÇÃO FLORESTAL E AMBIENTAL,DCFL,"Segunda-feira, 10:00 a 12:00",JVS::09
01,13117 - DENDROLOGIA S,DCFL,"Segunda-feira, 13:00 a 15:00
Terça-feira, 13:00 a 16:00",JVS::09
01,13118 - POLÍTICA FLORESTAL,DCFL,"Segunda-feira, 15:00 a 18:00",JVS::09
01,13119 - ANATOMIA E IDENTIFICAÇÃO DA MADEIRA,DCFL,"Quinta-feira, 15:00 a 18:00",JVS::09
01,13120 - AGROSSILVICULTURA,DCFL,"Quarta-feira, 07:00 a 09:00",JVS::10
01,13121 - TECNOLOGIA DA MADEIRA,DCFL,"Terça-feira, 10:00 a 12:00
Quinta-feira, 07:00 a 09:00",JVS::10
